Queue | Arch   | Instance          | vCPU | GiB   | GPU | USD/hr   | Current
------+--------+-------------------+------+-------+-----+----------+--------
cpu   | x86_64 | t2.nano           | 1    | 0.5   | 0   | 0.005800 | True   
cpu   | x86_64 | t1.micro          | 1    | 0.6   | 0   | 0.020000 | False  
cpu   | x86_64 | t2.micro          | 1    | 1.0   | 0   | 0.011600 | True   
cpu   | x86_64 | m1.small          | 1    | 1.7   | 0   | 0.044000 | False  
cpu   | x86_64 | t2.small          | 1    | 2.0   | 0   | 0.023000 | True   
cpu   | x86_64 | c7a.medium        | 1    | 2.0   | 0   | 0.051320 | True   
cpu   | x86_64 | c8a.medium        | 1    | 2.0   | 0   | 0.053890 | True   
cpu   | x86_64 | m1.medium         | 1    | 3.7   | 0   | 0.087000 | False  
cpu   | x86_64 | m3.medium         | 1    | 3.8   | 0   | 0.067000 | False  
cpu   | x86_64 | m7a.medium        | 1    | 4.0   | 0   | 0.057960 | True   
cpu   | x86_64 | m8a.medium        | 1    | 4.0   | 0   | 0.060860 | True   
cpu   | x86_64 | m8azn.medium      | 1    | 4.0   | 0   | 0.103230 | True   
cpu   | x86_64 | r7a.medium        | 1    | 8.0   | 0   | 0.076080 | True   
cpu   | x86_64 | r8a.medium        | 1    | 8.0   | 0   | 0.079880 | True   
cpu   | x86_64 | t3a.nano          | 2    | 0.5   | 0   | 0.004700 | True   
cpu   | x86_64 | t3.nano           | 2    | 0.5   | 0   | 0.005200 | True   
cpu   | x86_64 | t3a.micro         | 2    | 1.0   | 0   | 0.009400 | True   
cpu   | x86_64 | t3.micro          | 2    | 1.0   | 0   | 0.010400 | True   
cpu   | x86_64 | c1.medium         | 2    | 1.7   | 0   | 0.130000 | False  
cpu   | x86_64 | t3a.small         | 2    | 2.0   | 0   | 0.018800 | True   
cpu   | x86_64 | t3.small          | 2    | 2.0   | 0   | 0.020800 | True   
cpu   | x86_64 | c4.large          | 2    | 3.8   | 0   | 0.100000 | False  
cpu   | x86_64 | c3.large          | 2    | 3.8   | 0   | 0.105000 | False  
cpu   | x86_64 | t3a.medium        | 2    | 4.0   | 0   | 0.037600 | True   
cpu   | x86_64 | t3.medium         | 2    | 4.0   | 0   | 0.041600 | True   
cpu   | x86_64 | t2.medium         | 2    | 4.0   | 0   | 0.046400 | True   
cpu   | x86_64 | c6a.large         | 2    | 4.0   | 0   | 0.076500 | True   
cpu   | x86_64 | c5a.large         | 2    | 4.0   | 0   | 0.077000 | True   
cpu   | x86_64 | c7i-flex.large    | 2    | 4.0   | 0   | 0.084790 | True   
cpu   | x86_64 | c5.large          | 2    | 4.0   | 0   | 0.085000 | False  
cpu   | x86_64 | c6i.large         | 2    | 4.0   | 0   | 0.085000 | True   
cpu   | x86_64 | c5ad.large        | 2    | 4.0   | 0   | 0.086000 | True   
cpu   | x86_64 | c8i-flex.large    | 2    | 4.0   | 0   | 0.089020 | True   
cpu   | x86_64 | c7i.large         | 2    | 4.0   | 0   | 0.089250 | True   
cpu   | x86_64 | c8i.large         | 2    | 4.0   | 0   | 0.093710 | True   
cpu   | x86_64 | c5d.large         | 2    | 4.0   | 0   | 0.096000 | True   
cpu   | x86_64 | c6id.large        | 2    | 4.0   | 0   | 0.100800 | True   
cpu   | x86_64 | c7a.large         | 2    | 4.0   | 0   | 0.102640 | True   
cpu   | x86_64 | c8a.large         | 2    | 4.0   | 0   | 0.107770 | True   
cpu   | x86_64 | c8id.large        | 2    | 4.0   | 0   | 0.110880 | True   
cpu   | x86_64 | c6in.large        | 2    | 4.0   | 0   | 0.113400 | True   
cpu   | x86_64 | c8ib.large        | 2    | 4.0   | 0   | 0.136080 | True   
cpu   | x86_64 | c8in.large        | 2    | 4.0   | 0   | 0.136080 | True   
cpu   | x86_64 | c8ine.large       | 2    | 4.0   | 0   | 0.170100 | True   
cpu   | x86_64 | c5n.large         | 2    | 5.2   | 0   | 0.108000 | True   
cpu   | x86_64 | m3.large          | 2    | 7.5   | 0   | 0.133000 | False  
cpu   | x86_64 | m1.large          | 2    | 7.5   | 0   | 0.175000 | False  
cpu   | x86_64 | t3a.large         | 2    | 8.0   | 0   | 0.075200 | True   
cpu   | x86_64 | t3.large          | 2    | 8.0   | 0   | 0.083200 | True   
cpu   | x86_64 | m5a.large         | 2    | 8.0   | 0   | 0.086000 | True   
cpu   | x86_64 | m6a.large         | 2    | 8.0   | 0   | 0.086400 | True   
cpu   | x86_64 | t2.large          | 2    | 8.0   | 0   | 0.092800 | True   
cpu   | x86_64 | m7i-flex.large    | 2    | 8.0   | 0   | 0.095760 | True   
cpu   | x86_64 | m5.large          | 2    | 8.0   | 0   | 0.096000 | False  
cpu   | x86_64 | m6i.large         | 2    | 8.0   | 0   | 0.096000 | False  
cpu   | x86_64 | m4.large          | 2    | 8.0   | 0   | 0.100000 | False  
cpu   | x86_64 | m8i-flex.large    | 2    | 8.0   | 0   | 0.100550 | True   
cpu   | x86_64 | m7i.large         | 2    | 8.0   | 0   | 0.100800 | True   
cpu   | x86_64 | m5ad.large        | 2    | 8.0   | 0   | 0.103000 | True   
cpu   | x86_64 | m8i.large         | 2    | 8.0   | 0   | 0.105840 | True   
cpu   | x86_64 | m5d.large         | 2    | 8.0   | 0   | 0.113000 | True   
cpu   | x86_64 | m7a.large         | 2    | 8.0   | 0   | 0.115920 | True   
cpu   | x86_64 | m6id.large        | 2    | 8.0   | 0   | 0.118650 | True   
cpu   | x86_64 | m5n.large         | 2    | 8.0   | 0   | 0.119000 | True   
cpu   | x86_64 | m8a.large         | 2    | 8.0   | 0   | 0.121720 | True   
cpu   | x86_64 | m8id.large        | 2    | 8.0   | 0   | 0.130520 | True   
cpu   | x86_64 | m5dn.large        | 2    | 8.0   | 0   | 0.136000 | True   
cpu   | x86_64 | m6in.large        | 2    | 8.0   | 0   | 0.139230 | True   
cpu   | x86_64 | m6idn.large       | 2    | 8.0   | 0   | 0.159120 | True   
cpu   | x86_64 | m5zn.large        | 2    | 8.0   | 0   | 0.165200 | True   
cpu   | x86_64 | m8ib.large        | 2    | 8.0   | 0   | 0.167080 | True   
cpu   | x86_64 | m8in.large        | 2    | 8.0   | 0   | 0.167080 | True   
cpu   | x86_64 | m8idb.large       | 2    | 8.0   | 0   | 0.190940 | True   
cpu   | x86_64 | m8idn.large       | 2    | 8.0   | 0   | 0.190940 | True   
cpu   | x86_64 | m8azn.large       | 2    | 8.0   | 0   | 0.206460 | True   
cpu   | x86_64 | m8ine.large       | 2    | 8.0   | 0   | 0.208850 | True   
cpu   | x86_64 | r3.large          | 2    | 15.0  | 0   | 0.166000 | False  
cpu   | x86_64 | r4.large          | 2    | 15.2  | 0   | 0.133000 | False  
cpu   | x86_64 | r5a.large         | 2    | 16.0  | 0   | 0.113000 | True   
cpu   | x86_64 | r6a.large         | 2    | 16.0  | 0   | 0.113400 | True   
cpu   | x86_64 | r5.large          | 2    | 16.0  | 0   | 0.126000 | False  
cpu   | x86_64 | r6i.large         | 2    | 16.0  | 0   | 0.126000 | False  
cpu   | x86_64 | r5ad.large        | 2    | 16.0  | 0   | 0.131000 | True   
cpu   | x86_64 | r8i-flex.large    | 2    | 16.0  | 0   | 0.131970 | True   
cpu   | x86_64 | r7i.large         | 2    | 16.0  | 0   | 0.132300 | True   
cpu   | x86_64 | r8i.large         | 2    | 16.0  | 0   | 0.138920 | True   
cpu   | x86_64 | r5d.large         | 2    | 16.0  | 0   | 0.144000 | True   
cpu   | x86_64 | r5b.large         | 2    | 16.0  | 0   | 0.149000 | True   
cpu   | x86_64 | r5n.large         | 2    | 16.0  | 0   | 0.149000 | True   
cpu   | x86_64 | r6id.large        | 2    | 16.0  | 0   | 0.151200 | True   
cpu   | x86_64 | r7a.large         | 2    | 16.0  | 0   | 0.152150 | True   
cpu   | x86_64 | r8a.large         | 2    | 16.0  | 0   | 0.159760 | True   
cpu   | x86_64 | r8id.large        | 2    | 16.0  | 0   | 0.166320 | True   
cpu   | x86_64 | r5dn.large        | 2    | 16.0  | 0   | 0.167000 | True   
cpu   | x86_64 | r6in.large        | 2    | 16.0  | 0   | 0.174330 | True   
cpu   | x86_64 | r7iz.large        | 2    | 16.0  | 0   | 0.186000 | True   
cpu   | x86_64 | r6idn.large       | 2    | 16.0  | 0   | 0.195390 | True   
cpu   | x86_64 | r8ib.large        | 2    | 16.0  | 0   | 0.209200 | True   
cpu   | x86_64 | r8in.large        | 2    | 16.0  | 0   | 0.209200 | True   
cpu   | x86_64 | r8idb.large       | 2    | 16.0  | 0   | 0.234470 | True   
cpu   | x86_64 | r8idn.large       | 2    | 16.0  | 0   | 0.234470 | True   
cpu   | x86_64 | m2.xlarge         | 2    | 17.1  | 0   | 0.245000 | False  
cpu   | x86_64 | x8i.large         | 2    | 32.0  | 0   | 0.218830 | True   
cpu   | x86_64 | c4.xlarge         | 4    | 7.5   | 0   | 0.199000 | False  
cpu   | x86_64 | c3.xlarge         | 4    | 7.5   | 0   | 0.210000 | False  
cpu   | x86_64 | c6a.xlarge        | 4    | 8.0   | 0   | 0.153000 | True   
cpu   | x86_64 | c5a.xlarge        | 4    | 8.0   | 0   | 0.154000 | True   
cpu   | x86_64 | c7i-flex.xlarge   | 4    | 8.0   | 0   | 0.169580 | True   
cpu   | x86_64 | c5.xlarge         | 4    | 8.0   | 0   | 0.170000 | False  
cpu   | x86_64 | c6i.xlarge        | 4    | 8.0   | 0   | 0.170000 | True   
cpu   | x86_64 | c5ad.xlarge       | 4    | 8.0   | 0   | 0.172000 | True   
cpu   | x86_64 | c8i-flex.xlarge   | 4    | 8.0   | 0   | 0.178040 | True   
cpu   | x86_64 | c7i.xlarge        | 4    | 8.0   | 0   | 0.178500 | True   
cpu   | x86_64 | c8i.xlarge        | 4    | 8.0   | 0   | 0.187420 | True   
cpu   | x86_64 | c5d.xlarge        | 4    | 8.0   | 0   | 0.192000 | True   
cpu   | x86_64 | c6id.xlarge       | 4    | 8.0   | 0   | 0.201600 | True   
cpu   | x86_64 | c7a.xlarge        | 4    | 8.0   | 0   | 0.205280 | True   
cpu   | x86_64 | c8a.xlarge        | 4    | 8.0   | 0   | 0.215540 | True   
cpu   | x86_64 | c8id.xlarge       | 4    | 8.0   | 0   | 0.221760 | True   
cpu   | x86_64 | c6in.xlarge       | 4    | 8.0   | 0   | 0.226800 | True   
cpu   | x86_64 | c8ib.xlarge       | 4    | 8.0   | 0   | 0.272160 | True   
cpu   | x86_64 | c8in.xlarge       | 4    | 8.0   | 0   | 0.272160 | True   
cpu   | x86_64 | c8ine.xlarge      | 4    | 8.0   | 0   | 0.340200 | True   
cpu   | x86_64 | c5n.xlarge        | 4    | 10.5  | 0   | 0.216000 | True   
cpu   | x86_64 | m3.xlarge         | 4    | 15.0  | 0   | 0.266000 | False  
cpu   | x86_64 | m1.xlarge         | 4    | 15.0  | 0   | 0.350000 | False  
cpu   | x86_64 | t3a.xlarge        | 4    | 16.0  | 0   | 0.150400 | True   
cpu   | x86_64 | t3.xlarge         | 4    | 16.0  | 0   | 0.166400 | True   
cpu   | x86_64 | m5a.xlarge        | 4    | 16.0  | 0   | 0.172000 | True   
cpu   | x86_64 | m6a.xlarge        | 4    | 16.0  | 0   | 0.172800 | True   
cpu   | x86_64 | t2.xlarge         | 4    | 16.0  | 0   | 0.185600 | True   
cpu   | x86_64 | m7i-flex.xlarge   | 4    | 16.0  | 0   | 0.191520 | True   
cpu   | x86_64 | m5.xlarge         | 4    | 16.0  | 0   | 0.192000 | False  
cpu   | x86_64 | m6i.xlarge        | 4    | 16.0  | 0   | 0.192000 | False  
cpu   | x86_64 | m4.xlarge         | 4    | 16.0  | 0   | 0.200000 | False  
